语言学术语	yuyanxueshuyu
前指省略	qianzhishenglve
前指照应	qianzhizhaoying
前置	qianzhi
前置词	qianzhici
前置词补语	qianzhicibuyu
前置词词组	qianzhicicizu
前置词短语	qianzhiciduanyu
前置词副词	qianzhicifuci
前置限定词	qianzhixiandingci
前置修饰语	qianzhixiushiyu
前置序列	qianzhixulie
前缀	qianzhui
前缀法	qianzhuifa
前缀语言	qianzhuiyuyan
潜势	qianshi
浅层学习	qiancengxuexi
欠格	qiange
嵌入	qianru
嵌入分句	qianrufenju
嵌入句	qianruju
嵌入体验	qianrutiyan
嵌套	qiantao
强调	qiangdiao
强调词	qiangdiaoci
强调代词	qiangdiaodaici
强调句	qiangdiaoju
强调肯定词	qiangdiaokendingci
强调音	qiangdiaoyin
强调重音	qiangdiaozhongyin
强度修饰语	qiangduxiushiyu
强发音	qiangfayin
强化	qianghua
强跨越	qiangkuayue
强烈劝告语气	qiangliequangaoyuqi
强式	qiangshi
强式动词	qiangshidongci
强式最简命题	qiangshizuijianmingti
强势代词	qiangshidaici
强送气	qiangsongqi
强送气符	qiangsongqifu
强特征	qiangtezheng
强制曲拱原则	qiangzhiqugongyuanze
强制性成分	qiangzhixingchengfen
强制性转换	qiangzhixingzhuanhuan
强制语气	qiangzhiyuqi
乔姆斯基层级	qiaomusijicengji
乔姆斯基革命	qiaomusijigeming
乔姆斯基嫁接	qiaomusijijiajie
乔姆斯基语言学	qiaomusijiyuyanxue
桥梁动词	qiaoliangdongci
桥梁课程	qiaoliangkecheng
桥音	qiaoyin
切口	qiekou
钦定《圣经》英译本	qindingshengjingyingyiben
亲密感	qinmigan
亲密交谈	qinmijiaotan
亲昵语词	qinniyuci
亲属关系词	qinshuguanxici
亲属关系术语学	qinshuguanxishuyuxue
亲属语言	qinshuyuyan
青年语法学派	qingnianyufaxuepai
青蛙旋律论	qingwaxuanlvlun
轻动词	qingdongci
轻名词	qingmingci
轻拍音	qingpaiyin
倾斜	qingxie
倾斜分布	qingxiefenbu
清辅音	qingfuyin
清塞音	qingseyin
清音的	qingyinde
清音化	qingyinhua
清元音	qingyuanyin
情感	qinggan
情感变量	qingganbianliang
情感过滤	qingganguolv
情感过滤器假说	qingganguolvqijiashuo
情感荷载词	qingganhezaici
情感领域	qingganlingyu
情感目标	qingganmubiao
情感诉求	qinggansuqiu
情感意义	qingganyiyi
情节记忆	qingjiejiyi
情景	qingjing
情景法	qingjingfa
情景分析	qingjingfenxi
情景框	qingjingkuang
情景模型	qingjingmoxing
情景体	qingjingti
情景型语码转换	qingjingxingyumazhuanhuan
情景意义	qingjingyiyi
情景语境	qingjingyujing
情景语言教学法	qingjingyuyanjiaoxuefa
情景语义学	qingjingyuyixue
情景照应	qingjingzhaoying
情态	qingtai
情态从句	qingtaicongju
情态动词	qingtaidongci
情态动词四属性	qingtaidongcisishuxing
情态助动词	qingtaizhudongci
区别分析	qubiefenxi
区别词汇学	qubiecihuixue
区别性功能	qubiexinggongneng
区别性特征	qubiexingtezheng
区别性特征理论	qubiexingtezhenglilun
区分度指数	qufenduzhishu
区域	quyu
区域分类法	quyufenleifa
区域性变异	quyuxingbianyi
区域性方言	quyuxingfangyan
区域语言学	quyuyuyanxue
屈折	qushe
屈折变化	qushebianhua
屈折词层	qusheciceng
屈折词尾	qusheciwei
屈折词缀	qushecizhui
屈折范畴	qushefanchou
屈折构形成分	qushegouxingchengfen
屈折消失	qushexiaoshi
屈折形式	qushexingshi
屈折形态学	qushexingtaixue
屈折语	qusheyu
屈折中心语分裂假说	qushezhongxinyufenliejiashuo
趋同提问	qutongtiwen
趋向共性	quxianggongxing
趋异提问	quyitiwen
渠道	qudao
渠道能力	qudaonengli
曲音变化	quyinbianhua
曲折声调	quzheshengdiao
去鼻音化	qubiyinhua
去边界化	qubianjiehua
去腭化	quehua
去嗯化	qunhua
去方言化	qufangyanhua
去技能化	qujinenghua
去克里奥耳语化	qukeliaoeryuhua
去歧义化	quqiyihua
去石化	qushihua
去双音化	qushuangyinhua
去习惯化	quxiguanhua
去语法化	quyufahua
去语境化	quyujinghua
去圆唇化	quyuanchunhua
权威差距	quanweichaju
权威评估	quanweipinggu
全包教学	quanbaojiaoxue
全部倒装	quanbudaozhuang
全称量词	quanchengliangci
全称量化	quanchenglianghua
全称意义	quanchengyiyi
全词法	quancifa
全国文字改革会议	quanguowenzigaigehuiyi
全国英语教学大纲	quanguoyingyujiaoxuedagang
全降	quanjiang
全局性问题	quanjuxingwenti
全局性语误	quanjuxingyuwu
全距	quanju
全面扩散移位	quanmiankuosanyiwei
全盘扩散现象	quanpankuosanxianxiang
全球性问题	quanqiuxingwenti
全弱化元音	quanruohuayuanyin
全新实体	quanxinshiti
全应规则	quanyingguize
全韵	quanyun
全自动高质量翻译	quanzidonggaozhiliangfanyi
全字母短句	quanzimuduanju
诠释理论	quanshililun
é
劝导行为	quandaoxingwei
劝服修辞	quanfuxiuci
缺规	quegui
缺省推理	queshengtuili
缺省语义学	queshengyuyixue
缺陷	quexian
缺陷动词	quexiandongci
群内交际	qunneijiaoji
群体间交际	quntijianjiaoji
群体语言学习法	quntiyuyanxuexifa
群体语言研究	quntiyuyanyanjiu
让步从句	rangbucongju
人本主义教学法	renbenzhuyijiaoxuefa
人称	rencheng
人称不定式	renchengbudingshi
人称词尾	renchengciwei
人称代词	renchengdaici
人称动词	renchengdongci
人称移情等级体系	renchengyiqingdengjitixi
人称指示语	renchengzhishiyu
人工神经网络	rengongshenjingwangluo
人工语言	rengongyuyan
人工智能	rengongzhineng
人工智能法	rengongzhinengfa
人机互助翻译	renjihuzhufanyi
人际功能	renjigongneng
人际交往	renjijiaowang
人际修辞	renjixiuci
人际意义	renjiyiyi
人际隐喻	renjiyinyu
人际语境	renjiyujing
人类发音学	renleifayinxue
人类符号学	renleifuhaoxue
人类语言学	renleiyuyanxue
人名	renming
人名地名变体	renmingdimingbianti
人名学	renmingxue
人造语言	renzaoyuyan
认识词汇	renshicihui
认识论	renshilun
认识逻辑	renshiluoji
认识情态	renshiqingtai
认同关系过程	rentongguanxiguocheng
认同者	rentongzhe
认知	renzhi
认知变元	renzhibianyuan
认知策略	renzhicelve
认知承诺	renzhichengnuo
认知发展	renzhifazhan
认知法	renzhifa
认知范畴	renzhifanchou
认知方式	renzhifangshi
认知符号法	renzhifuhaofa
认知经济性	renzhijingjixing
认知科学	renzhikexue
认知类型	renzhileixing
认知模型	renzhimoxing
认知学术语言能力	renzhixueshuyuyannengli
认知隐喻	renzhiyinyu
认知语法	renzhiyufa
认知语言学	renzhiyuyanxue
认知语义学	renzhiyuyixue
任务	renwu
任务内行为	renwuneihangwei
任务型教学大纲	renwuxingjiaoxuedagang
任意性	renyixing
任指空语类	renzhikongyulei
日常语言学派	richangyuyanxuepai
日常语言哲学	richangyuyanzhexue
日耳曼语音变化	riermanyuyinbianhua
日耳曼语语言学	riermanyuyuyanxue
日记研究	rijiyanjiu
日内瓦学派	rineiwaxuepai
日文汉字	riwenhanzi
溶合	ronghe
溶合分词	ronghefenci
溶合复合词	ronghefuheci
溶合句	rongheju
溶合语	rongheyu
/
融合	ronghe
融合	ronghe
融合教学法	ronghejiaoxuefa
融入型动机	rongruxingdongji
冗文涩语	rongwenseyu
冗余规则	rongyuguize
冗余性	rongyuxing
冗语	rongyu
如尼字母	runizimu
辱骂性语言	rumaxingyuyan
入格	ruge
入流音	ruliuyin
入门测试	rumenceshi
软腭	ruane
软腭封闭	ruanefengbi
软腭化	ruanehua
软腭化音	ruanehuayin
软腭气流	ruaneqiliu
软腭气流机制	ruaneqiliujizhi
软腭清擦音	ruaneqingcayin
软腭音	ruaneyin
软辅音	ruanfuyin
软件	ruanjian
软音	ruanyin
软音符号	ruanyinfuhao
软音化	ruanyinhua
锐音	ruiyin
锐音符	ruiyinfu
瑞尼森框架	ruinisenkuangjia
若布伦黑话	ruobulunheihua
弱变化	ruobianhua
弱等值关系	ruodengzhiguanxi
弱辅音	ruofuyin
弱化	ruohua
弱化元音	ruohuayuanyin
弱接口论	ruojiekoulun
弱跨越	ruokuayue
弱祈使语气	ruoqishiyuqi
弱生成能力	ruoshengchengnengli
弱式词汇论假说	ruoshicihuilunjiashuo
弱式读音	ruoshiduyin
弱特征	ruotezheng
弱央元音	ruoyangyuanyin
弱意词	ruoyici
弱重音	ruozhongyin
萨丕尔沃尔夫假说	sapierwoerfujiashuo
塞擦	saica
塞擦爆破音	saicabaopoyin
塞擦音	saicayin
塞音	seyin
三段论	sanduanlun
三数	sanshu
三元论	sanyuanlun
三字母一音	sanzimuyiyin
散布音	sanbuyin
散句	sanju
散音	sanyin
嗓音	sangyin
嗓音开始时间	sangyinkaishishijian
扫读	saodu
色彩类推	secaileitui
僧侣文字字体	senglvwenziziti
山毛榉说	shanmaojushuo
删除	shanchu
闪音	shanyin
商务英语	shangwuyingyu
商务语言测试	shangwuyuyanceshi
商议性大纲	shangyixingdagang
上层语言	shangcengyuyan
上行字母	shangxingzimu
上升次序	shangshengcixu
上升级阶	shangshengjijie
上升双元音	shangshengshuangyuanyin
上位比较	shangweibijiao
上位层干扰	shangweicengganrao
上下文	shangxiawen
上下文关键词索引	shangxiawenguanjiancisuoyin
上下文增益	shangxiawenzengyi
上下义关系	shangxiayiguanxi
上义词	shangyici
少数量	shaoshuliang
舌背音	shebeiyin
舌边	shebian
舌的	shede
舌高音	shegaoyin
舌根	shegen
舌根的	shegende
舌根前伸	shegenqianshen
舌沟擦音	shegoucayin
舌冠化	sheguanhua
舌后部	shehoubu
舌后辅音	shehoufuyin
舌尖	shejian
舌尖齿音	shejianchiyin
舌尖齿龈音	shejianchiyinyin
舌尖唇音	shejianchunyin
舌尖辅音	shejianfuyin
舌尖后齿龈音	shejianhouchiyinyin
舌尖音	shejianyin
舌面隆起	shemianlongqi
舌面前部摩擦音	shemianqianbumocayin
舌面前音	shemianqianyin
舌面中音	shemianzhongyin
舌前音	sheqianyin
舌位	shewei
舌位降低	sheweijiangdi
舌位升高	sheweishenggao
舌叶	sheye
舌叶齿音	sheyechiyin
舌叶齿龈音	sheyechiyinyin
舌叶后齿龈音	sheyehouchiyinyin
舌叶音	sheyeyin
社会（情感）策略	shehuiqinggancelve
/
社会变量	shehuibianliang
社会标记	shehuibiaoji
社会表征	shehuibiaozheng
社会策略	shehuicelve
社会层面	shehuicengmian
社会触动因素	shehuichudongyinsu
社会方言	shehuifangyan
社会方言变体	shehuifangyanbianti
社会分层	shehuifenceng
社会符号学途径	shehuifuhaoxuetujing
社会化	shehuihua
社会环境	shehuihuanjing
社会建构主义	shehuijiangouzhuyi
社会建构主义学习理论	shehuijiangouzhuyixuexililun
社会教育模型	shehuijiaoyumoxing
社会距离	shehuijuli
社会历史语言学	shehuilishiyuyanxue
社会情感过滤器	shehuiqingganguolvqi
社会认知法	shehuirenzhifa
社会身份	shehuishenfen
社会双语现象	shehuishuangyuxianxiang
社会网络	shehuiwangluo
社会文化	shehuiwenhua
社会文化理论	shehuiwenhualilun
社会文化能力	shehuiwenhuanengli
社会心理语言学	shehuixinliyuyanxue
社会意识	shehuiyishi
社会意义	shehuiyiyi
社会因素	shehuiyinsu
社会音系学	shehuiyinxixue
社会语言标记	shehuiyuyanbiaoji
社会语言能力	shehuiyuyannengli
社会语言迁移	shehuiyuyanqianyi
社会语言学	shehuiyuyanxue
社会语言学变项	shehuiyuyanxuebianxiang
社会语用失误	shehuiyuyongshiwu
社会语用学	shehuiyuyongxue
社交指示语	shejiaozhishiyu
社论式自称	shelunshizicheng
射体	sheti
身势学	shenshixue
身体摹仿	shentimofang
深层格	shencengge
深层格框	shencenggekuang
深层结构	shencengjiegou
深层语法	shencengyufa
深度访谈法	shendufangtanfa
深度假说	shendujiashuo
深度学习	shenduxuexi
深元音	shenyuanyin
神经网络	shenjingwangluo
神经语言规划	shenjingyuyanguihua
神经语言学	shenjingyuyanxue
审议演说	shenyiyanshuo
渗透	shentou
升格	shengge
升喉嗓音	shenghousangyin
升级	shengji
升降调	shengjiangdiao
升调	shengdiao
生成	shengcheng
生成词库	shengchengciku
生成方言学	shengchengfangyanxue
生成力	shengchengli
生成能力	shengchengnengli
生成音系学	shengchengyinxixue
生成语法	shengchengyufa
生成语法理论	shengchengyufalilun
生成语义学	shengchengyuyixue
生成转换语法	shengchengzhuanhuanyufa
生理语音学	shengliyuyinxue
生命度等级	shengmingdudengji
生态批评话语分析	shengtaipipinghuayufenxi
生态语言学	shengtaiyuyanxue
生物程序假说	shengwuchengxujiashuo
生物符号学	shengwufuhaoxue
生物语言学	shengwuyuyanxue
声波	shengbo
声波图	shengbotu
声带	shengdai
声道	shengdao
声调	shengdiao
声调发生	shengdiaofasheng
声调反向性	shengdiaofanxiangxing
声调弱化	shengdiaoruohua
声调下降	shengdiaoxiajiang
声调学	shengdiaoxue
声调音位	shengdiaoyinwei
声调语言	shengdiaoyuyan
声调重音	shengdiaozhongyin
声符	shengfu
声律障碍	shenglvzhangai
声门	shengmen
声门闭合	shengmenbihe
声门化	shengmenhua
声门气流机制	shengmenqiliujizhi
声门强化	shengmenqianghua
声门塞音	shengmenseyin
声门塞音	shengmenseyin
声门塞音理论	shengmenseyinlilun
声门吸气音	shengmenxiqiyin
声门音	shengmenyin
声母	shengmu
（			）
声谱仪	shengpuyi
声腔	shengqiang
声强	shengqiang
声学	shengxue
声学处理	shengxuechuli
声学分析	shengxuefenxi
声学过滤器	shengxueguolvqi
声学提示	shengxuetishi
声学语音学	shengxueyuyinxue
声音	shengyin
声音过滤	shengyinguolv
声音节奏	shengyinjiezou
声域	shengyu
声源	shengyuan
声源过滤理论	shengyuanguolvlilun
声源特征	shengyuantezheng
省略	shenglve
省略参数	shenglvecanshu
省略否定式	shenglvefoudingshi
省略号	shenglvehao
省略检验	shenglvejianyan
省略句	shenglveju
省略形式	shenglvexingshi
省音	shengyin
省音	shengyin
省音	shengyin
圣经	shengjing
剩余成分	shengyuchengfen
失读症	shiduzheng
失范性	shifanxing
失认症	shirenzheng
失声	shisheng
失效测试	shixiaoceshi
失写症	shixiezheng
失音症	shiyinzheng
失语症	shiyuzheng
诗歌	shige
诗歌破格	shigepoge
诗行跨行	shihangkuaxing
诗学	shixue
ēē
诗学	shixue
施事	shishi
施事宾语	shishibinyu
施事动词	shishidongci
施事格	shishige
施事名词	shishimingci
施事式语言	shishishiyuyan
施事约束	shishiyueshu
施事主语	shishizhuyu
施为动词	shiweidongci
施为二律背反	shiweierlvbeifan
施为句	shiweiju
施为句分析	shiweijufenxi
施为矛盾	shiweimaodun
十三人规则	shisanrenguize
十四行诗	shisihangshi
石化现象	shihuaxianxiang
时	shi
时标	shibiao
时标层	shibiaoceng
时代错误	shidaicuowu
时点动词	shidiandongci
时间从句	shijiancongju
时间副词	shijianfuci
时间介词缺失	shijianjieciqueshi
时间连词	shijianlianci
时间深度	shijianshendu
时间顺序	shijianshunxu
时间性方言	shijianxingfangyan
时间指示语	shijianzhishiyu
时态倒退	shitaidaotui
时态逆移	shitainiyi
时态序列	shitaixulie
识别	shibie
识别焦点	shibiejiaodian
识别试验	shibieshiyan
识解	shijie
识字读写能力	shiziduxienengli
识字前阶段	shiziqianjieduan
实词	shici
实地实习	shidishixi
实地调查	shididiaocha
实地语言学	shidiyuyanxue
实例化	shilihua
实例理论	shilililun
实时研究	shishiyanjiu
实素	shisu
实体共性	shitigongxing
实物教具	shiwujiaoju
实现分析	shixianfenxi
实现技能	shixianjineng
实现性差异	shixianxingchayi
实验句法学	shiyanjufaxue
实验音系学	shiyanyinxixue
实验语用学	shiyanyuyongxue
实验组	shiyanzu
实义词	shiyici
实义动词	shiyidongci
实用读写能力	shiyongduxienengli
实语素	shiyusu
实证效度	shizhengxiaodu
实证性研究	shizhengxingyanjiu
实证主义	shizhengzhuyi
实质条件	shizhitiaojian
实质蕴涵	shizhiyunhan
食道音	shidaoyin
使动构式	shidonggoushi
使役动词	shiyidongci
使役格	shiyige
使用频率	shiyongpinlv
始点动词	shidiandongci
示波管	shiboguan
示波器	shiboqi
示教实物	shijiaoshiwu
示调仪	shidiaoyi
示意量表编列法	shiyiliangbiaobianliefa
世界英语	shijieyingyu
世界语	shijieyu
世俗体文字	shisutiwenzi
似成体	shichengti
势位	shiwei
势系学	shixixue
事件基本部分	shijianjibenbufen
事件结构	shijianjiegou
事件结构隐喻	shijianjiegouyinyu
事件类型	shijianleixing
事实功能条件	shishigongnengtiaojian
事实接受者	shishijieshouzhe
事实名词	shishimingci
事实性理解	shishixinglijie
事实性知识	shishixingzhishi
饰面工作	shimiangongzuo
试题鉴别度	shitijianbiedu
试题库	shitiku
试题难度	shitinandu
试题区分度	shitiqufendu
试题特征曲线	shititezhengquxian
视点转换	shidianzhuanhuan
视读法	shidufa
视角	shijiao
视角系统	shijiaoxitong
视觉词汇	shijuecihui
视觉感知	shijueganzhi
视说法	shishuofa
视速仪	shisuyi
视听法	shitingfa
视听教具	shitingjiaoju
视听言语加工	shitingyanyujiagong
视停	shiting
是否问句	shifouwenju
适切条件	shiqietiaojian
适应术	shiyingshu
释义	shiyi
释意派理论	shiyipaililun
é
收敛	shoulian
手势	shoushi
手势构型	shoushigouxing
手势型用法	shoushixingyongfa
手势语最小单位	shoushiyuzuixiaodanwei
手势语最小单位表述	shoushiyuzuixiaodanweibiaoshu
手语	shouyu
首词脱落	shoucituoluo
首行缩进	shouxingsuojin
首流	shouliu
首尾重复	shouweichongfu
首位	shouwei
首位宾语	shouweibinyu
首音互换	shouyinhuhuan
首音脱落	shouyintuoluo
首音最大原则	shouyinzuidayuanze
首语重复	shouyuchongfu
首重音	shouzhongyin
首字母缩略词	shouzimusuolveci
首字母脱落	shouzimutuoluo
受词异相标记	shouciyixiangbiaoji
受定成分	shoudingchengfen
受格	shouge
受格语言	shougeyuyan
受话人	shouhuaren
受话者设计	shouhuazhesheji
受话者制约敬语	shouhuazhezhiyuejingyu
受惠体	shouhuiti
受教英语	shoujiaoyingyu
受控处理	shoukongchuli
受事	shoushi
受事宾语	shoushibinyu
受事参与者	shoushicanyuzhe
受事间接宾语	shoushijianjiebinyu
受事主语	shoushizhuyu
受限语言	shouxianyuyan
受益格	shouyige
受益体	shouyiti
受益者	shouyizhe
受众	shouzhong
受阻音节	shouzuyinjie
受阻元音	shouzuyuanyin
书本词	shubenci
书法	shufa
书法障碍	shufazhangai
书洪	shuhong
书面文化	shumianwenhua
书面语	shumianyu
书写词	shuxieci
书写体系	shuxietixi
书写系统	shuxiexitong
书写学	shuxiexue
书写障碍	shuxiezhangai
枢轴词	shuzhouci
枢轴语法	shuzhouyufa
输出策略	shuchucelve
输出假设	shuchujiashe
输入处理	shuruchuli
输入假说	shurujiashuo
输入空间	shurukongjian
输入强化	shuruqianghua
熟称	shucheng
熟称形式	shuchengxingshi
熟悉度	shuxidu
熟语学	shuyuxue
属格	shuge
属格符号	shugefuhao
属格关系从句	shugeguanxicongju
属性	shuxing
属性句	shuxingju
属性同位语	shuxingtongweiyu
属性形容词	shuxingxingrongci
属有复合词	shuyoufuheci
术语	shuyu
术语词典学	shuyucidianxue
术语汇编	shuyuhuibian
术语命名法	shuyumingmingfa
术语学	shuyuxue
束	shu
述题	shuti
述位	shuwei
述谓补语	shuweibuyu
述谓结构	shuweijiegou
树邻接语法	shulinjieyufa
树形图	shuxingtu
数	shu
数词	shuci
数词类推	shucileitui
数词转化	shucizhuanhua
数据分布	shujufenbu
数据库	shujuku
数据驱动加工	shujuqudongjiagong
数据驱动模式	shujuqudongmoshi
数理逻辑	shuliluoji
数理语言学	shuliyuyanxue
数量系统	shuliangxitong
数量语言学	shuliangyuyanxue
数量原则	shuliangyuanze
数目	shumu
数一致	shuyizhi
数字范畴	shuzifanchou
数字化语言	shuzihuayuyan
数字交际	shuzijiaoji
数字数据	shuzishuju
双限制	shuangxianzhi
双被动语态	shuangbeidongyutai
双边对立	shuangbianduili
双边辅音	shuangbianfuyin
双宾结构	shuangbinjiegou
双叉分支假设	shuangchafenzhijiashe
双唇齿音	shuangchunchiyin
双唇吸气音	shuangchunxiqiyin
双唇音	shuangchunyin
双方言	shuangfangyan
双方言场合	shuangfangyanchanghe
双方言教育	shuangfangyanjiaoyu
双方言现象	shuangfangyanxianxiang
双峰分布	shuangfengfenbu
双辅音	shuangfuyin
双杠	shuanggang
双关语	shuangguanyu
双基转换	shuangjizhuanhuan
双及物动词	shuangjiwudongci
双可及性假设	shuangkejixingjiashe
双类属	shuangleishu
双名法	shuangmingfa
双母音化	shuangmuyinhua
双切分	shuangqiefen
〔德	〕	de
双人称	shuangrencheng
双数	shuangshu
双填标补语过滤条件	shuangtianbiaobuyuguolvtiaojian
双完成时态	shuangwanchengshitai
双唯一性	shuangweiyixing
双文化者	shuangwenhuazhe
双向共现	shuangxianggongxian
双项的	shuangxiangde
双性	shuangxing
双言制	shuangyanzhi
双义性	shuangyixing
双音	shuangyin
双音节的	shuangyinjiede
双音位分类	shuangyinweifenlei
双语第一语言习得	shuangyudiyiyuyanxide
双语读写者	shuangyuduxiezhe
双语兼通者	shuangyujiantongzhe
双语教育	shuangyujiaoyu
双语句法测试	shuangyujufaceshi
双语区域	shuangyuquyu
双语体现象	shuangyutixianxiang
双语通	shuangyutong
双语同时现象	shuangyutongshixianxiang
双语现象	shuangyuxianxiang
双语语言学	shuangyuyuyanxue
双元音	shuangyuanyin
双韵	shuangyun
双众数分布	shuangzhongshufenbu
双重被动	shuangchongbeidong
双重比较	shuangchongbijiao
双重发音	shuangchongfayin
双重分节	shuangchongfenjie
双重否定	shuangchongfouding
双重构词法	shuangchonggoucifa
双重属格	shuangchongshuge
双重束缚理论	shuangchongshufulilun
双重同化	shuangchongtonghua
双重性	shuangchongxing
双重性	shuangchongxing
双字母	shuangzimu
水平测试	shuipingceshi
水域名称学	shuiyumingchengxue
顺行结构	shunxingjiegou
顺连锁法	shunliansuofa
顺同化	shuntonghua
顺向同化	shunxiangtonghua
顺序量表	shunxuliangbiao
顺应变化	shunyingbianhua
顺应理论	shunyinglilun
顺应性测试	shunyingxingceshi
瞬间体	shunjianti
瞬间性	shunjianxing
瞬时除阻	shunshichuzu
瞬息新词	shunxixinci
瞬现词	shunxianci
说	shuo
说话规则	shuohuaguize
说话人识别	shuohuarenshibie
说话时间分配	shuohuashijianfenpei
说英语者	shuoyingyuzhe
司法语言学	sifayuyanxue
私人语言	sirenyuyan
私自语	siziyu
咝声	sisheng
咝音	siyin
思维适应性控制理论	siweishiyingxingkongzhililun
斯本内现象	sibenneixianxiang
斯宾塞体	sibinsaiti
斯拉夫语语言学	silafuyuyuyanxue
斯皮尔曼—布朗预测公式	sipiermanbulangyucegongshi
死海文书	sihaiwenshu
死语言	siyuyan
四步操练	sibucaolian
四段练习	siduanlianxi
四行诗	sixingshi
四声	sisheng
四字母词	sizimuci
松弛性	songchixing
松连构式	songliangoushi
松散同位语	songsantongweiyu
松嗓音	songsangyin
松音	songyin
送气	songqi
送气的	songqide
送气对立	songqiduili
送气辅音	songqifuyin
送气塞音	songqiseyin
素	su
素体诗	sutishi
速度测验	suduceyan
速度性	suduxing
速记术	sujishu
速示器	sushiqi
速语症	suyuzheng
算法	suanfa
算式库	suanshiku
随机抽样	suijichouyang
随机存取	suijicunqu
随机平行复本	suijipingxingfuben
随机区组设计	suijiquzusheji
随机顺序规则应用	suijishunxuguizeyingyong
随机误差	suijiwucha
随机音系学	suijiyinxixue
随意变幻观	suiyibianhuanguan
随意变体	suiyibianti
损耗语言	sunhaoyuyan
缩减	suojian
缩减被动句	suojianbeidongju
缩减策略	suojiancelve
缩减从句	suojiancongju
缩减从句	suojiancongju
缩减关系从句	suojianguanxicongju
缩略	suolve
缩略法	suolvefa
缩略规约	suolveguiyue
缩略形式	suolvexingshi
缩舌发音	suoshefayin
缩写	suoxie
缩写定律	suoxiedinglv
缩写形式	suoxiexingshi
所有格	suoyouge
所有格符号	suoyougefuhao
所指	suozhi
所指	suozhi
所指	suozhi
所指表达	suozhibiaoda
所指等级	suozhidengji
所指等级体系	suozhidengjitixi
所指对象	suozhiduixiang
所指反复	suozhifanfu
所指关系	suozhiguanxi
所指晦暗	suozhihuian
所指结构	suozhijiegou
所指模糊	suozhimohu
所指前移	suozhiqianyi
所指意义	suozhiyiyi
所指制约敬语	suozhizhiyuejingyu
索引性	suoyinxing
索引性原则	suoyinxingyuanze
他语者英语	tayuzheyingyu
他语者英语教学	tayuzheyingyujiaoxue
他主语言	tazhuyuyan
塔尔斯基语义学	taersijiyuyixue
探测	tance
探测能力	tancenengli
探针	tanzhen
唐氏综合征	tangshizonghezheng
讨论法	taolunfa
套话	taohua
套语	taoyu
特定问题	tedingwenti
特殊变格名词	teshubiangemingci
特殊会话隐涵	teshuhuihuayinhan
特殊先天论	teshuxiantianlun
特殊言语损伤	teshuyanyusunshang
特殊用途英语	teshuyongtuyingyu
特征	tezheng
特征方式	tezhengfangshi
特征复合	tezhengfuhe
特征共现限制	tezhenggongxianxianzhi
特征函数	tezhenghanshu
特征几何	tezhengjihe
特征几何理论	tezhengjihelilun
特征架构理论	tezhengjiagoulilun
特征结构	tezhengjiegou
特征矩阵	tezhengjuzhen
特征扩展	tezhengkuozhan
特征束	tezhengshu
特征删除规则	tezhengshanchuguize
特征说明默认规则	tezhengshuomingmorenguize
特征增加规则	tezhengzengjiaguize
提高性输入	tigaoxingshuru
提供者	tigongzhe
提及次序	tijicixu
提述次序	tishucixu
提取	tiqu
提升	tisheng
提升动词	tishengdongci
提升形容词	tishengxingrongci
提示	tishi
提示效度	tishixiaodu
提示性音调	tishixingyindiao
提问技巧	tiwenjiqiao
提喻	tiyu
题内关键词索引	tineiguanjiancisuoyin
题外关键词索引	tiwaiguanjiancisuoyin
题项	tixiang
题项分析	tixiangfenxi
题项难易度	tixiangnanyidu
题型说明书	tixingshuomingshu
题元层级	tiyuancengji
题元关系	tiyuanguanxi
题元化	tiyuanhua
题元角色	tiyuanjuese
题元理论	tiyuanlilun
题元网格	tiyuanwangge
题元性	tiyuanxing
题元指派一致性假说	tiyuanzhipaiyizhixingjiashuo
题元准则	tiyuanzhunze
体	ti
体裁	ticai
体裁法	ticaifa
体裁分析	ticaifenxi
体裁格局	ticaigeju
体裁结构	ticaijiegou
体裁类型	ticaileixing
体对偶	tiduiou
体假设	tijiashe
体距学	tijuxue
体时性	tishixing
体特征	titezheng
体投射	titoushe
体验	tiyan
体验构式语法	tiyangoushiyufa
体验认知	tiyanrenzhi
体验哲学	tiyanzhexue
体助动词	tizhudongci
体转移	tizhuanyi
替代	tidai
替代理论	tidaililun
替代形素	tidaixingsu
替换	tihuan
替换表	tihuanbiao
替换操练	tihuancaolian
替换规则	tihuanguize
替换框架	tihuankuangjia
替换形素	tihuanxingsu
天城体	tianchengti
天赋	tianfu
天赋假说	tianfujiashuo
天气动词	tianqidongci
添加指大后缀	tianjiazhidahouzhui
田野试验	tianyeshiyan
田野调查	tianyediaocha
田野调查法	tianyediaochafa
田野语言学	tianyeyuyanxue
填补型移位结构	tianbuxingyiweijiegou
填补虚词	tianbuxuci
填充词	tianchongci
填充词缺位结构	tianchongciqueweijiegou
填充虚词	tianchongxuci
条件反应	tiaojianfanying
条件分句	tiaojianfenju
条件语气	tiaojianyuqi
条目	tiaomu
调节性规则	tiaojiexingguize
调适	tiaoshi
调音动作	tiaoyindongzuo
调整模式	tiaozhengmoshi
跳读	tiaodu
跳跃式接合	tiaoyueshijiehe
铁砧	tiezhen
听话者推论	tinghuazhetuilun
听觉辨音	tingjuebianyin
听觉处理	tingjuechuli
听觉刺激	tingjueciji
听觉反馈	tingjuefankui
听觉反馈	tingjuefankui
听觉分析系统	tingjuefenxixitong
听觉感知	tingjueganzhi
听觉共振理论	tingjuegongzhenlilun
听觉鉴别	tingjuejianbie
